,created_at,text,lang,timestamp_ms,preprocessed,lemma stop
4,Mon Nov 01 03:20:34 +0000 2021,@mishacollins @vic_righthand I’m contacting my law team,en,1635736834658, i m contacting my law team,contact law team
5,Mon Nov 01 03:20:48 +0000 2021,@mishacollins @vic_righthand uh. i mean. lookin’ good. ☺️👍🏻,en,1635736848665, uh i mean lookin good ,uh mean lookin good
6,Mon Nov 01 03:23:05 +0000 2021,@mishacollins @vic_righthand bro me,en,1635736985666, bro me,bro
8,Mon Nov 01 03:27:47 +0000 2021,"@Tori658 @FaceMcnerd @mishacollins @vic_righthand Nope, my eye went immediately to it, even on the ""wrong"" arm.😳😲",en,1635737267657, nope my eye went immediately to it even on the wrong arm ,nope eye go immediately even wrong arm
11,Mon Nov 01 03:46:13 +0000 2021,@proCasDeanating @mishacollins @vic_righthand PLEASE,en,1635738373663, please,please
12,Mon Nov 01 03:50:05 +0000 2021,@mishacollins @vic_righthand You got a little something on your face lol,en,1635738605657, you got a little something on your face lol,get little something face lol
15,Mon Nov 01 04:06:16 +0000 2021,@mishacollins @vic_righthand Damn! You still look hot as hell as a zombie! 🤩😍,en,1635739576661, damn you still look hot as hell as a zombie ,damn still look hot hell zombie
16,Mon Nov 01 04:07:57 +0000 2021,"Life is always going to keep coming at you from all directions. These are good reminders, and poems such as ‘Downpour’ are spot on. Thank you for your words @mishacollins . It’s nice not to feel alone or hopeless. #SomeThingsIStillCantTellYou https://t.co/JYNV3VGEEC https://t.co/wOXT5KxfEh",en,1635739677666,life is always going to keep coming at you from all directions these are good reminders and poems such as downpour are spot on thank you for your words it s nice not to feel alone or hopeless ,life always go keep come directions good reminders poems downpour spot thank word nice feel alone hopeless
17,Mon Nov 01 06:34:39 +0000 2021,@CasGirl_Sheha @mishacollins @strandbookstore yayy you got your book! Also cute meow meow.,en,1635748479665, yayy you got your book also cute meow meow ,yayy get book also cute meow meow
21,Mon Nov 01 11:04:27 +0000 2021,"Enjoy the Momento Con 2021 Misha Collins Q&amp;A Panel recorded on Saturday, 9/4/21, at the David Lawrence Convention Center in Pittsburgh, PA. @mishacollins 

Find out more about our upcoming events here: 
https://t.co/i3wbDbHpXW

https://t.co/5DROZP0Vrm",en,1635764667663,enjoy the momento con 2021 misha collins q amp a panel recorded on saturday 9 4 21 at the david lawrence convention center in pittsburgh pa find out more about our upcoming events here ,enjoy momento con 2021 misha collins q amp panel record saturday 9 4 21 david lawrence convention center pittsburgh pa find upcoming events
22,Mon Nov 01 11:29:16 +0000 2021,"@mishacollins @vic_righthand Excuse me sir, you got a little ketchup on you…😜🎃",en,1635766156659, excuse me sir you got a little ketchup on you ,excuse sir get little ketchup
28,Mon Nov 01 17:49:32 +0000 2021,@magikandmayhem_ @the_endverse @cptnmidnite @mishacollins @vic_righthand That's Phil?????? 😯😯😯,en,1635788972661, that s phil ,phil
30,Mon Nov 01 20:06:36 +0000 2021,@mishacollins #SomeThingsIStillCantTellYou book is so good that Emma won’t Part with it even while sleeping . Good thing I have another one all for myself . So we both can cuddle into warm blankets and read on a cold November nicht . Get yours here : https://t.co/wTpBw2TjqQ https://t.co/MN0SIrawNq,en,1635797196666, book is so good that emma won t part with it even while sleeping good thing i have another one all for myself so we both can cuddle into warm blankets and read on a cold november nicht get yours here ,book good emma part even sleep good thing another one cuddle warm blanket read cold november nicht get
32,Mon Nov 01 20:41:04 +0000 2021,There's something about Misha Collins running that I find very entertaining,en,1635799264660,there s something about misha collins running that i find very entertaining,something misha collins run find entertain
34,Mon Nov 01 21:00:00 +0000 2021,"Ep.286 — 13:22 — ""Exodus""

humans: not perfect 
hardwired to fall and then 
they need a fall guy

@MarkRPellegrino @Alex8Calvert @mishacollins",en,1635800400663,ep 286 13 22 exodus humans not perfect hardwired to fall and then they need a fall guy ,ep 286 13 22 exodus humans perfect hardwired fall need fall guy
40,Mon Nov 01 23:42:14 +0000 2021,"Signed book to Indonesia!!

I feel like hugged not only by @mishacollins but many others. Thankyou so much for @updatesmisha @ewlyn give chance to people with programs and help us so we could get this beautiful book #SomeThingsIStillCantTellYou 

Get it: https://t.co/g0nJJbCiV4 https://t.co/iqcYBtpej8",en,1635810134663,signed book to indonesia i feel like hugged not only by but many others thankyou so much for give chance to people with programs and help us so we could get this beautiful book get it ,sign book indonesia feel like hug many others thankyou much give chance people program help us could get beautiful book get
41,Tue Nov 02 00:53:54 +0000 2021,"Next is @hollidewees
We lost this bright light this year.
I was fortunate to meet her through supernatural in line for @mishacollins and @OsricChau stood in line with us.
I will forever be grateful for the photo she took for me that day.
I send her family love. https://t.co/gj7ibDOIzy",en,1635814434664,next is we lost this bright light this year i was fortunate to meet her through supernatural in line for and stood in line with us i will forever be grateful for the photo she took for me that day i send her family love ,next lose bright light year fortunate meet supernatural line stand line us forever grateful photo take day send family love
43,Tue Nov 02 01:54:26 +0000 2021,"@GISHBOT @mishacollins @charliecapen So whatcha say @GISH HQ , and @mishacollins and @charliecapen  ?
Can you loan out @GISHBOT for our #mishamesses? I hear he’s making and appearance @Stands  anyways…",en,1635818066665, so whatcha say hq and and can you loan out for our i hear he s making and appearance anyways ,whatcha say hq loan hear make appearance anyways
44,Tue Nov 02 05:15:31 +0000 2021,@mishacollins This is brilliant. Thank you. https://t.co/RbPjlkUnXU,en,1635830131665, this is brilliant thank you ,brilliant thank
47,Tue Nov 02 17:01:31 +0000 2021,@TammyPacyna @SuperWiki @mishacollins My parents live not too far from Colarussos. Trying to drive past the one in Avoca on a Friday is a nightmare! The street is always jammed. Their pizza is so delicious. I could eat it all the time.,en,1635872491663, my parents live not too far from colarussos trying to drive past the one in avoca on a friday is a nightmare the street is always jammed their pizza is so delicious i could eat it all the time ,parent live far colarussos try drive past one avoca friday nightmare street always jam pizza delicious could eat time
58,Wed Nov 03 04:38:36 +0000 2021,@Dyllion17 @JensenAckles @jarpad @mishacollins oh yeah they did lol im just hoping they give an actual story about the very first supernatural hunters 😂,en,1635914316666, oh yeah they did lol im just hoping they give an actual story about the very first supernatural hunters ,oh yeah lol im hop give actual story first supernatural hunters
