,compound,count
2021-11-01,0.24690625,16.0
2021-11-02,0.5495749999999999,4.0
2021-11-03,0.163525,4.0
2021-11-04,0.2807777777777778,9.0
2021-11-05,0.20584444444444444,9.0
2021-11-06,0.21082,5.0
2021-11-07,0.1336,5.0
2021-11-08,0.0536857142857143,7.0
2021-11-09,0.5521666666666666,6.0
2021-11-10,0.41253333333333336,3.0
2021-11-11,0.0,1.0
2021-11-12,0.3798111111111111,9.0
2021-11-13,0.3976375,8.0
2021-11-14,0.15170000000000003,2.0
2021-11-15,-0.01793000000000001,10.0
2021-11-16,0.18912727272727273,11.0
2021-11-17,0.8779,1.0
2021-11-18,0.4052285714285714,7.0
2021-11-19,-0.07346000000000001,5.0
2021-11-20,-0.042011111111111124,9.0
2021-11-21,0.4100375,8.0
2021-11-22,0.025183333333333353,6.0
2021-11-23,-0.3477,2.0
2021-11-24,-0.19410000000000002,6.0
2021-11-25,0.6306,2.0
2021-11-26,0.74928,5.0
2021-11-27,-0.5423,1.0
2021-11-28,0.14819090909090907,11.0
2021-11-29,0.623275,4.0
2021-11-30,0.3060333333333334,3.0
2021-12-01,-0.12176666666666665,3.0
2021-12-02,0.22812000000000002,5.0
2021-12-03,0.54478,5.0
2021-12-04,0.5147,3.0
2021-12-05,0.6636857142857143,7.0
2021-12-06,0.2302857142857143,7.0
2021-12-07,0.14076666666666668,6.0
2021-12-08,0.3297142857142857,7.0
2021-12-09,0.274125,4.0
2021-12-10,0.2909,4.0
2021-12-11,0.5329,3.0
2021-12-12,0.3975,8.0
2021-12-13,-0.04930000000000001,2.0
2021-12-14,0.08946666666666667,9.0
2021-12-15,0.49010999999999993,10.0
2021-12-16,0.15419999999999998,6.0
2021-12-17,0.30172,10.0
2021-12-18,0.401175,16.0
2021-12-19,0.16188571428571427,7.0
2021-12-20,-0.12084000000000002,15.0
2021-12-21,0.5813428571428572,7.0
2021-12-22,0.5994,1.0
2021-12-23,0.27790000000000004,4.0
2021-12-24,0.195075,4.0
2021-12-25,0.5348166666666666,6.0
2021-12-26,-0.2582,3.0
